document,quotation,codes,comment
1282 [M] MBA with Concentration in Business Analytics.docx,"
Program Coursework: Required Core Courses

(24 hours total: 8 total courses, each 3 credit hours):

ECON/PMBA 5015 (Economics for Managers)

Economics for Managers uses real-world issues and examples to illustrate how economic principles impact business decisions. Emphases on agency and contract theory, managerial behavioral economics, game theory, and pricing are especially valuable to decision making by managers. In this course, cases use actual data to illustrate the use of basic economic models to solve managerial and economic problems. Prerequisite: Grade of C or better in both undergraduate Micro and Macro Economics or 80% score in final exam of Economics Module.

MGT/PMBA 5250 (Organizational Behavior and Leadership)

An examination of the theoretical and research foundations that explain behavior within the context of organizations. The focus will be on how organizational behavior theory is translated into practice such that students will acquire the knowledge and skills necessary to become an effective manager.

MGT/PMBA 5810 (Information Technology for Business)

This is an introductory course designed to familiarize students with role of information technology (IT) in business organizations. The course provides a balance between managerial and technical aspects of information technology. Managerial aspects include topics such as using IT as a strategic source for competitive advantage, enterprise resource planning, electronic commerce, supply chain management, and role of data analytics in modern businesses. Technical topics include hardware, software, databases, Internet of things (IoT), developing and acquiring IT, and IT security.

FIN/PMBA 5820 (Financial Management)

The goal of this course is to acquaint all business students with the primary concepts and techniques of financial analysis. The course will build upon the skills obtained in accounting and economics and use those skills for making decisions regarding a firm’s use of capital toward the goal of maximizing the value of the firm. It is assumed that all students are familiar with financial statements and basic statistical and economic principles. The first part of the course will develop the tools used in modern financial analysis, including financial statement analysis and valuation techniques. Latter portions will apply these tools to decision-making for long-term (capital budgeting and cost of capital) financial management for both large and small firms. Prerequisite: Grade of C or better in both undergraduate Micro and Macro Economics or 80% score in final exam of Economics Module; grade of C or better in undergraduate Statistics I course or 80% score in final exam of Statistics Module; and, grade of C or better in undergraduate Principles of Accounting I (Financial Accounting) or 80% score in final exam of Accounting Module.

MGT/PMBA 5835 (Quantitative Decision Analysis for Business)

This course covers quantitative and statistical decision models for business decision making. Topics covered in depth include Decision Analysis, Regression Modeling, Linear Programming, Transportation and network modeling, Forecasting, Inventory Management, Statistical Quality Control, Project Management, and Simulation modeling techniques and concepts, and their applications for managerial decision-making. All topics will be presented using computer spreadsheet modeling approach. Prerequisite: grade of C or better in undergraduate Statistics I course or 80% score in final exam of Statistics Module.

ACC/PMBA 5855 (Accounting for Managers)

The purpose of this course is to provide students with a thorough exposure to the basic elements of financial and managerial accounting from a manager’s perspective. Emphasis is placed on the application of accounting information both from an external user’s perspective and for internal decision making. Contemporary topics that might affect the use of accounting information are surveyed, including in depth discussion of current events in business and financial news. The course draws upon the collective business experiences of the participants during classroom discussions that demonstrate the application of key concepts. Prerequisite: grade of C or better in undergraduate Principles of Accounting I (Financial Accounting) or 80% score in final exam of Accounting Module.

MKT/PMBA 5860 (Marketing Management)

The goal of this course is to provide a decision-oriented overview of marketing management. This course focuses on the management challenge of designing and implementing marketing strategies that maximize customer satisfaction and firm profitability. Prerequisite: Grade of C or better in both undergraduate Micro and Macro Economics or 80% score in final exam of Economics Module.

ETR/PMBA 5885 (Corporate Entrepreneurship and Innovation)

Innovation is critical for survival and growth in today’s climate of increasing globalization, technological change, market transition, and business model modification. Yet, most corporations struggle with innovation within the traditional management model. Corporate entrepreneurship provides the context and infrastructure for sustained innovation within established organizations. The focus of this course is on the entrepreneurial processes and principles needed in established organizations for successful strategic innovation. Prerequisites:

PMBA/FIN 5820, PMBA/ACC 5855, PMBA/MKT 5860 and PMBA/MGT 5250.

Required Capstone Course

(1 total course; 3 credit hours):

MGT/PMBA 5870 (Strategic Management)

Business Analytics Concentration

The following 9 hours of electives are required (each course is worth 3-credit hours) in order to fulfill the Business Analytics concentration:

MGT/PMBA 5140 (Databases and Data Warehouses)

This course covers database, data warehousing, and SQL concepts and offers practical recommendations for using these tools for data extraction, transformation, and loading (ETL).

MGT/PMBA 5190 (Data Mining and Analytics)

This course provides an introduction to the field of business intelligence and analytics. The focus of this class is hands-on learning of how to use statistical techniques to solve business problems. It covers extensive use of data, quantitative analysis, exploratory and predictive models, and fact-based management to generate knowledge and drive decisions and actions. The use of key performance indicators, dashboards and scorecards for performance management and opportunity assessment are also addressed. This course expands on probability and statistical concepts, statistical modeling, and experimental design. This class uses a real-life data project and SAS Enterprise Guide. Prerequisite: grade of C or better in undergraduate Statistics I course or 80% score in final exam of Statistics Module.

MGT/PMBA 5200 (Advanced Data Analytics)

This course covers advanced topics related to data analytics applications in the context of organizational information systems such as Enterprise Resource Planning, Customer Relationship Management, and Supply Chain Management. Topics include data manipulation, data exploration, neural networks, decision trees, cluster analysis, correlation, and predictive modeling. The focus of this course is hands-on learning of how to use statistical and algorithm-based techniques to solve business problems. The course uses real-life data project and SAS Enterprise Miner. Prerequisite: PMBA 5190 or MGT 5190.
",Courses,
1283 [B] B.S. Computer Science Data Science.docx,"
Our bachelor's degree in computer & data science prepares you to design and program software, master complex data analysis, and solve complicated problems—just like you'll be asked to do throughout your career.
",Mission,
1283 [B] B.S. Computer Science Data Science.docx,"
Required courses:

CDS 120 Introduction to Programming with Python

CDS 121 Data

CDS 241 Programming II

CDS 242 Algorithms and Data Structures

CDS 343 Data Analysis and Visualization

CDS 362 Distributed Systems

CDS 499 Professional Experience

MAS 111 Analysis I

MAS 112 Analysis II

MAS 113 Introduction to Mathematical Thinking I

MAS 114 Introduction to Mathematical Thinking II

MAS 372 Statistical Modeling

One from the following groups:

MAS 222 Linear Algebra

MAS 270 Intermediate Statistics

or

MAS 261 Calculus III

MAS 371 Statistical Inference

One lab from the language labs numbered 18X:

CDS 180 Language Lab: Python

CDS 181 Language Lab: C++

CDS 182 Language Lab: C#

Plus one additional language lab from labs numbered 18X and the following:

CDS 180 Language Lab: Python

CDS 181 Language Lab: C++

CDS 281 Software Processes

CDS 285 Computational Problem Solving I

CDS 385 Computational Problem Solving II

Two additional CDS courses (6 credits) at the 300 level or higher.
",Courses,
1255 [M] Master of Science in Engineering (MSE) in Data Science.docx,"
Penn’s Master of Science in Engineering (MSE) in Data Science prepares students for a wide range of data-centric careers, whether in technology and engineering, consulting, science, policy-making, or understanding patterns in literature, art or communications.
",Mission,
1255 [M] Master of Science in Engineering (MSE) in Data Science.docx,"
Math: Mathematical Statistics (STAT 512) or Linear Algebra/Optimization (CIS 515) or STAT for Data Science (ESE 542)

Big Data Analytics: Big Data Analytics (CIS 545)

Mining and Learning: Intro to Machine Learning (CIS 519) or Machine Learning (CIS 520) or Modern Data Mining (STAT 571) or Data-driven Modeling and Probabilistic Scientific Computing (ENM 531) or Data Mining: Learning from Massive Datasets (ESE 545)
",Courses,
1269 [C] Graduate Certificate in Business Analytics.docx,"
The Business Analytics Graduate Certificate is a STEM-designated program that was designed based on extensive benchmarking across academia and industry. The program trains students to be the data-savvy managers that today’s marketplace demands.
",Mission,
1269 [C] Graduate Certificate in Business Analytics.docx,"
MBA PROGRAMS
(includes One-Year MBA, International MBA and Professional MBA)

To obtain the certificate, students in the MBA programs must take ALL of the following three courses:



MGSC 790: Data Resource Management



MGSC 777: Advanced Quantitative Methods in Business



MKTG 708: Customer Relationship Management and Data Mining
OR MKTG 712: Marketing Analytics



In addition, students must choose ONE of the following courses:



ACCT 737: Accounting Information Systems from a Strategic Perspective



CSCE 587: Big Data Analytics



ECON 736: Applied Econometrics



FINA 772: Student Managed Investments



IBUS 739: Design Thinking for Global Business



IBUS 740: Data Analytics for International Business



MGMT 737: Experiential HR Applied Project



MGSC 778: Revenue Management



MGSC 796: Information Systems



MKTG 715: Pricing Strategy and Analysis



MKTG 717: Fundamentals of Marketing Analytics


",Courses,
1269 [C] Graduate Certificate in Business Analytics.docx,"
As a STEM-designated program, the Business Analytics Graduate Certificate teaches students how to apply science, technology, engineering or math skills to business applications.
",Skills,
1275 [M] Master of Science in Computer Science – Data Science.docx,"
The Master of Science in Computer Science (Data Science) provides students with a core background in Computer Science and specialized algorithmic, statistical, and systems expertise in acquiring, storing, accessing, analyzing and visualizing large, heterogeneous and real-time data associated with diverse real-world domains including energy, the environment, health, media, medicine, and transportation.
",Mission,
1275 [M] Master of Science in Computer Science – Data Science.docx,"
algorithmic, statistical, and systems expertise in acquiring, storing, accessing, analyzing and visualizing large, heterogeneous and real-time data associated with diverse real-world domains
",Skills,
